Liverpool,Chelsea,AFC Bournemouth,Crystal Palace,Man City,Watford,Man Utd,Spurs,Everton,Wolves,Burnley,Southampton,Leicester,Newcastle,Arsenal,Brighton,Cardiff,Fulham,Huddersfield,West Ham
42.0,34.0,23.0,12.0,41.0,21.0,26.0,36.0,24.0,22.0,12.0,9.0,22.0,13.0,34.0,21.0,14.0,9.0,10.0,21.0
45.0,37.0,23.0,15.0,44.0,24.0,26.0,39.0,24.0,25.0,12.0,12.0,22.0,16.0,34.0,21.0,14.0,9.0,10.0,24.0
48.0,37.0,26.0,18.0,44.0,27.0,29.0,42.0,24.0,25.0,12.0,15.0,25.0,17.0,37.0,21.0,14.0,10.0,10.0,24.0
51.0,40.0,26.0,19.0,44.0,27.0,32.0,45.0,27.0,26.0,12.0,15.0,28.0,17.0,38.0,22.0,15.0,11.0,10.0,27.0
54.0,43.0,26.0,19.0,47.0,28.0,35.0,45.0,27.0,29.0,15.0,15.0,28.0,18.0,38.0,25.0,18.0,14.0,10.0,27.0
54.0,44.0,27.0,22.0,50.0,29.0,38.0,48.0,27.0,29.0,18.0,16.0,31.0,18.0,41.0,26.0,18.0,14.0,10.0,28.0
57.0,47.0,27.0,22.0,53.0,32.0,41.0,48.0,30.0,29.0,21.0,19.0,31.0,18.0,41.0,26.0,19.0,14.0,11.0,31.0
60.0,47.0,30.0,22.0,56.0,33.0,44.0,51.0,30.0,32.0,22.0,22.0,31.0,21.0,44.0,26.0,19.0,14.0,11.0,31.0
61.0,47.0,33.0,23.0,56.0,33.0,45.0,54.0,33.0,35.0,23.0,23.0,32.0,24.0,47.0,26.0,19.0,17.0,11.0,31.0
62.0,50.0,33.0,26.0,62.0,34.0,48.0,57.0,33.0,38.0,24.0,24.0,32.0,24.0,47.0,27.0,22.0,17.0,11.0,32.0
65.0,50.0,33.0,27.0,65.0,37.0,51.0,60.0,33.0,39.0,27.0,24.0,32.0,25.0,50.0,27.0,25.0,17.0,11.0,33.0
66.0,50.0,34.0,30.0,65.0,40.0,52.0,60.0,33.0,40.0,30.0,24.0,32.0,28.0,53.0,27.0,25.0,17.0,11.0,36.0
69.0,53.0,34.0,30.0,68.0,40.0,55.0,60.0,36.0,40.0,30.0,27.0,35.0,31.0,56.0,27.0,25.0,17.0,14.0,36.0
70.0,56.0,34.0,33.0,71.0,43.0,58.0,61.0,37.0,43.0,30.0,27.0,35.0,31.0,57.0,30.0,25.0,17.0,14.0,39.0
73.0,57.0,37.0,33.0,74.0,43.0,58.0,61.0,37.0,44.0,30.0,30.0,38.0,34.0,60.0,33.0,28.0,17.0,14.0,39.0
76.0,57.0,38.0,33.0,74.0,43.0,58.0,61.0,40.0,44.0,30.0,30.0,41.0,35.0,60.0,33.0,28.0,17.0,14.0,42.0
79.0,63.0,38.0,36.0,80.0,46.0,61.0,64.0,43.0,47.0,33.0,33.0,44.0,35.0,63.0,33.0,28.0,17.0,14.0,42.0
82.0,66.0,38.0,39.0,80.0,46.0,61.0,64.0,46.0,47.0,36.0,33.0,47.0,35.0,63.0,33.0,28.0,17.0,14.0,42.0
85.0,66.0,41.0,39.0,83.0,46.0,64.0,67.0,46.0,47.0,39.0,36.0,47.0,38.0,66.0,33.0,31.0,20.0,14.0,42.0
88.0,67.0,41.0,42.0,89.0,50.0,64.0,70.0,49.0,51.0,40.0,37.0,48.0,41.0,66.0,34.0,31.0,23.0,14.0,43.0
91.0,68.0,42.0,43.0,92.0,50.0,65.0,70.0,50.0,54.0,40.0,38.0,51.0,42.0,66.0,35.0,31.0,26.0,14.0,46.0
94.0,71.0,45.0,46.0,95.0,50.0,66.0,70.0,53.0,57.0,40.0,38.0,51.0,42.0,67.0,36.0,31.0,26.0,15.0,49.0
97.0,72.0,45.0,49.0,98.0,50.0,66.0,71.0,54.0,57.0,40.0,39.0,52.0,45.0,70.0,36.0,34.0,26.0,16.0,52.0
